CPE
cpe:2.3:a:alsa-project:alsa:1.1.4.1:*:*:*:*:*:*:*
cpe:2.3:a:google:android:6.0.0:r7:*:*:*:*:*:*
cpe:2.3:a:google:android_libselinux:6.0.1:r55:*:*:*:*:*:*
cpe:2.3:a:google:android_libunwind:6.0.1:r55:*:*:*:*:*:*
cpe:2.3:a:google:android:1.6:r1.3:*:*:*:*:*:*
cpe:2.3:a:google:android:14.0.0:r15:*:*:*:*:*:*
cpe:2.3:a:google:android:14.0.0:r15:*:*:*:*:*:*
cpe:2.3:a:google:android:6.0.0:r1:*:*:*:*:*:*
cpe:2.3:a:google:android:7.1.0:r1:*:*:*:*:*:*
cpe:2.3:a:google:android:7.0.0:r19:*:*:*:*:*:*
cpe:2.3:a:google:android:7.0.0:r1:*:*:*:*:*:*
cpe:2.3:a:google:android:7.0.0:r1:*:*:*:*:*:*
cpe:2.3:a:google:android_bootable_bootloader_lk:froyo-20101011:*:*:*:*:*:*:*
cpe:2.3:a:boost:boost:1.64.0:*:*:*:*:*:*:*
cpe:2.3:a:busybox:busybox:1.24.1:*:*:*:*:*:*:*
cpe:2.3:a:mozilla:ca-certificates:20170717:*:*:*:*:*:*:*
cpe:2.3:a:cgroup-lite_project:cgroup-lite:1.11:*:*:*:*:*:*:*
cpe:2.3:a:cjson_project:cjson:1.6.0:*:*:*:*:*:*:*
cpe:2.3:a:haxx:curl:8.4.0:*:*:*:*:*:*:*
cpe:2.3:a:data-oss_project:data-oss:1:*:*:*:*:*:*:*
cpe:2.3:a:dhcpcd_project:dhcpcd:9.2.0:*:*:*:*:*:*:*
cpe:2.3:a:covesa:dlt-daemon:2.18.6:*:*:*:*:*:*:*
cpe:2.3:a:thekelleys:dnsmasq:2.79:*:*:*:*:*:*:*
cpe:2.3:a:embms-kernel_project:embms-kernel:1:*:*:*:*:*:*:*
cpe:2.3:a:kernel:ethtool:1:*:*:*:*:*:*:*
cpe:2.3:a:ext4-utils_project:ext4-utils:1:*:*:*:*:*:*:*
cpe:2.3:a:hostap-daemon-qcacld_project:hostap-daemon-qcacld:1:*:*:*:*:*:*:*
cpe:2.3:a:debian:init-ifupdown:1:*:*:*:*:*:*:*
cpe:2.3:a:iputils:iputils:s20151218:*:*:*:*:*:*:*
cpe:2.3:a:iw_project:iw:4.9:*:*:*:*:*:*:*
cpe:2.3:a:jsoncpp_project:jsoncpp:1.9.5:*:*:*:*:*:*:*
cpe:2.3:a:kbd_project:kbd:2.0.4:*:*:*:*:*:*:*
cpe:2.3:a:kernel:kmod:24:*:*:*:*:*:*:*
cpe:2.3:a:libarchive:libarchive:3.3.2:*:*:*:*:*:*:*
cpe:2.3:a:libbase_project:libbase:1:*:*:*:*:*:*:*
cpe:2.3:a:libcap_project:libcap:2.25:*:*:*:*:*:*:*
cpe:2.3:a:libcap-ng_project:libcap-ng:0.7.8:*:*:*:*:*:*:*
cpe:2.3:a:libcutils_project:libcutils:1:*:*:*:*:*:*:*
cpe:2.3:a:libffi_project:libffi:3.2.1:*:*:*:*:*:*:*
cpe:2.3:a:gnupg:libgpg-error:1.27:*:*:*:*:*:*:*
cpe:2.3:a:gnu:libidn2:2.3.0:*:*:*:*:*:*:*
cpe:2.3:a:libkcapi_project:libkcapi:1.1.4:*:*:*:*:*:*:*
cpe:2.3:a:tcpdump:libpcap:1.10.5:*:*:*:*:*:*:*
cpe:2.3:a:pcre:pcre:8.44:*:*:*:*:*:*:*
cpe:2.3:a:google:libsparse:1:*:*:*:*:*:*:*
cpe:2.3:a:feep:libtar:1.2.20:*:*:*:*:*:*:*
cpe:2.3:a:libunwind_project:libunwind:1:*:*:*:*:*:*:*
cpe:2.3:a:libuv:libuv:1.48.0:*:*:*:*:*:*:*
cpe:2.3:a:xmlsoft:libxml2:2.13.6:*:*:*:*:*:*:*
cpe:2.3:a:attr_project:attr:2.4.47:*:*:*:*:*:*:*
cpe:2.3:o:linux:linux_kernel:3.18.120:*:*:*:*:*:*:*
cpe:2.3:a:lzo_project:lzo:2.10:*:*:*:*:*:*:*
cpe:2.3:a:underbit:mad_libmad:0.15.1b:*:*:*:*:*:*:*
cpe:2.3:a:arm:mbed_tls:2.16.0:*:*:*:*:*:*:*
cpe:2.3:a:mmc-utils_project:mmc-utils:0.1:*:*:*:*:*:*:*
cpe:2.3:a:modutils-initscripts_project:modutils-initscripts:1:*:*:*:*:*:*:*
cpe:2.3:a:mtd-utils_project:mtd-utils:2.0.0:*:*:*:*:*:*:*
cpe:2.3:a:gnu:ncurses:6.4:*:*:*:*:*:*:*
cpe:2.3:a:netbase_project:netbase:5.4:*:*:*:*:*:*:*
cpe:2.3:a:openssl:openssl:1.1.1w:*:*:*:*:*:*:*
cpe:2.3:a:opkg_project:opkg:0.3.5:*:*:*:*:*:*:*
cpe:2.3:a:phytool_project:phytool:1.0.1:*:*:*:*:*:*:*
cpe:2.3:a:pimd_project:pimd:1:*:*:*:*:*:*:*
cpe:2.3:h:qualcomm:mdm9628:-:*:*:*:*:*:*:*
cpe:2.3:o:qualcomm:mdm9628_firmware:-:*:*:*:*:*:*:*
cpe:2.3:a:gnu:readline:5.2:*:*:*:*:*:*:*
cpe:2.3:a:rng-tools_project:rng-tools:5.0:*:*:*:*:*:*:*
cpe:2.3:a:rtsp-alg_project:rtsp-alg:3.7:*:*:*:*:*:*:*
cpe:2.3:a:run-postinsts_project:run-postinsts:1:*:*:*:*:*:*:*
cpe:2.3:a:sec-config_project:sec-config:1:*:*:*:*:*:*:*
cpe:2.3:a:sfe_project:sfe:1:*:*:*:*:*:*:*
cpe:2.3:a:debian:shadow:4.2.1:*:*:*:*:*:*:*
cpe:2.3:a:debian:shadow:4.2.1:*:*:*:*:*:*:*
cpe:2.3:a:shared-mime-info_project:shared-mime-info:1.8:*:*:*:*:*:*:*
cpe:2.3:a:dest-unreach:socat:1.7.3.2:*:*:*:*:*:*:*
cpe:2.3:a:sqlite:sqlite:3.40.1:*:*:*:*:*:*:*
cpe:2.3:a:ssc_project:ssc:0.0.2:*:*:*:*:*:*:*
cpe:2.3:a:strongswan:strongswan:5.9.10:-:*:*:*:*:*:*
cpe:2.3:a:sysfsutils_project:sysfsutils:2.1.0:*:*:*:*:*:*:*
cpe:2.3:a:system-conf_project:system-conf:1:*:*:*:*:*:*:*
cpe:2.3:a:sysvinit_project:sysvinit:2.88:*:*:*:*:*:*:*
cpe:2.3:a:tcp_wrappers_project:tcp_wrappers:7.6:*:*:*:*:*:*:*
cpe:2.3:a:tcpdump:tcpdump:4.99.1:*:*:*:*:*:*:*
cpe:2.3:a:tinyalsa_project:tinyalsa:1:*:*:*:*:*:*:*
cpe:2.3:a:tinyscheme_project:tinyscheme:1.0.0:*:*:*:*:*:*:*
cpe:2.3:a:update-rc.d_project:update-rc.d:0.7:*:*:*:*:*:*:*
cpe:2.3:a:usb-g-config_project:usb-g-config:1:*:*:*:*:*:*:*
cpe:2.3:a:kernel:util-linux:2.30:-:*:*:*:*:*:*
cpe:2.3:a:wireless-tools_project:wireless-tools:30~pre9:*:*:*:*:*:*:*
cpe:2.3:a:w1.fi:wpa_supplicant:2.8:*:*:*:*:*:*:*
cpe:2.3:a:xdelta3:xdelta3:3.0.11:*:*:*:*:*:*:*
cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*
